codigo_reg,localidade,idade,perc,sexo
1,Paranaguá,65-69,2.06,f
1,Paranaguá,70-74,1.48,f
1,Paranaguá,75-79,1.0,f
1,Paranaguá,80+,1.17,f
13,Cianorte,0-4,3.11,f
13,Cianorte,5-9,3.14,f
13,Cianorte,10-14,3.09,f
13,Cianorte,15-19,3.21,f
13,Cianorte,20-24,3.72,f
13,Cianorte,25-29,4.01,f
13,Cianorte,30-34,3.93,f
13,Cianorte,35-39,3.76,f
13,Cianorte,40-44,3.65,f
13,Cianorte,45-49,3.6,f
13,Cianorte,50-54,3.56,f
13,Cianorte,55-59,3.18,f
13,Cianorte,60-64,2.54,f
13,Cianorte,65-69,1.98,f
13,Cianorte,70-74,1.55,f
13,Cianorte,75-79,1.15,f
13,Cianorte,80+,1.37,f
6,União da Vitória,0-4,3.68,f
6,União da Vitória,5-9,3.55,f
6,União da Vitória,10-14,3.17,f
6,União da Vitória,15-19,3.41,f
6,União da Vitória,20-24,3.98,f
6,União da Vitória,25-29,4.07,f
6,União da Vitória,30-34,3.75,f
6,União da Vitória,35-39,3.58,f
6,União da Vitória,40-44,3.47,f
6,União da Vitória,45-49,3.35,f
6,União da Vitória,50-54,3.19,f
6,União da Vitória,55-59,2.91,f
6,União da Vitória,60-64,2.31,f
6,União da Vitória,65-69,1.88,f
6,União da Vitória,70-74,1.38,f
6,União da Vitória,75-79,0.95,f
6,União da Vitória,80+,1.07,f
2,Curitiba,0-4,3.39,f
2,Curitiba,5-9,3.3,f
2,Curitiba,10-14,3.25,f
2,Curitiba,15-19,3.55,f
2,Curitiba,20-24,4.02,f
2,Curitiba,25-29,3.97,f
2,Curitiba,30-34,3.94,f
2,Curitiba,35-39,4.05,f
2,Curitiba,40-44,3.94,f
2,Curitiba,45-49,3.55,f
2,Curitiba,50-54,3.27,f
2,Curitiba,55-59,2.99,f
2,Curitiba,60-64,2.55,f
2,Curitiba,65-69,2.02,f
2,Curitiba,70-74,1.49,f
2,Curitiba,75-79,0.99,f
2,Curitiba,80+,1.24,f
15,Maringá,0-4,2.85,f
15,Maringá,5-9,2.91,f
15,Maringá,10-14,2.99,f
